NewsPulse/7.4.2 FirebaseSDK/15.1.3 (com.news.pulse/3029483726; Windows/11; TQ3A.231005.002; Pixel 8; google; Pixel 8; 6.5; 2430x1080;)
BingNews/20.1.8 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023456967; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
BingNews/15.1.5 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023911324; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/2.0.8 FlurrySDK/15.0.1 (com.dailydigest.reader/2023603765; Windows/10; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
WeatherWatch/18.7.7 FlurrySDK/14.5.7 (com.weatherwatch.app/2023379519; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
GoogleNews/1.0.4 FlurrySDK/15.0.1 (com.google.microsoft.apps.magazines/2022444230; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
SportsNow/8.6.5 FlurrySDK/14.5.7 (com.microsoft.bing.news/2022296352; Windows/10; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
SportsNow/2.2.0 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2023511453; Windows/10; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
TravelGuide/19.0.1 FlurrySDK/15.0.1 (com.microsoft.bing.news/2023037530; Windows/NT; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
BingNews/17.0.2 FlurrySDK/14.5.7 (com.travelguide.explorer/2023664858; Windows/NT; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
TravelGuide/12.4.3 FlurrySDK/14.5.7 (com.travelguide.explorer/2022705815; Windows/10; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
YahooNews/14.0.9 FlurrySDK/14.5.7 (com.travelguide.explorer/2023351682; Windows/10; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
SportsNow/6.6.5 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022630805; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
DailyDigest/18.3.9 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023765999; Chrome/OS; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
SportsNow/14.8.2 FlurrySDK/14.5.7 (com.sportsnow.app/2023093318; Windows/10; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
GoogleNews/11.0.4 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022346389; Windows/10; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
GoogleNews/2.4.8 FlurrySDK/14.6.2 (com.dailydigest.reader/2023084973; Windows/NT; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
WeatherWatch/3.0.1 FlurrySDK/14.5.7 (com.travelguide.explorer/2023106278; Windows/NT; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
GoogleNews/4.4.5 FlurrySDK/14.6.2 (com.weatherwatch.app/2022001227; Windows/NT; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
GoogleNews/13.3.6 FlurrySDK/15.0.1 (com.weatherwatch.app/2023566509; Chrome/OS; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
YahooNews/20.6.8 FlurrySDK/14.6.2 (com.travelguide.explorer/2023685963; Chrome/OS; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
YahooNews/16.7.4 FlurrySDK/14.5.7 (com.microsoft.bing.news/2022145886; Windows/NT; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/17.8.6 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2022228189; Windows/10; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
SportsNow/14.0.9 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2023305372; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
TravelGuide/10.7.1 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023518338; Chrome/OS; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
BingNews/11.5.1 FlurrySDK/15.0.1 (com.sportsnow.app/2023291889; Windows/NT; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
GoogleNews/12.1.4 FlurrySDK/14.6.2 (com.dailydigest.reader/2022690898; Windows/NT; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
DailyDigest/18.7.2 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022221555; Windows/11; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
SportsNow/5.0.4 FlurrySDK/15.0.1 (com.weatherwatch.app/2023272625; Windows/11; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/12.9.0 FlurrySDK/14.5.7 (com.sportsnow.app/2022329924; Windows/11; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
GoogleNews/6.7.1 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023654358; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/4.5.0 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2022225372; Windows/11; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
SportsNow/1.9.7 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022782945; Windows/11; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
DailyDigest/20.1.0 FlurrySDK/15.0.1 (com.dailydigest.reader/2022950714; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
YahooNews/7.9.8 FlurrySDK/15.0.1 (com.sportsnow.app/2022477257; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
BingNews/19.4.3 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022741299; Chrome/OS; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
DailyDigest/5.1.4 FlurrySDK/14.5.7 (com.sportsnow.app/2022808050; Windows/NT; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
TravelGuide/8.4.0 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022535968; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
TravelGuide/5.2.5 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2023699295; Windows/11; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
TravelGuide/17.3.3 FlurrySDK/14.6.2 (com.weatherwatch.app/2023687863; Chrome/OS; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
TravelGuide/6.8.6 FlurrySDK/14.6.2 (com.dailydigest.reader/2023175062; Windows/10; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
WeatherWatch/13.2.8 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2022820074; Windows/NT; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
BingNews/3.1.4 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022878024; Windows/11; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
TravelGuide/3.1.7 FlurrySDK/14.6.2 (com.sportsnow.app/2023655632; Windows/10; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
DailyDigest/2.4.5 FlurrySDK/14.6.2 (com.sportsnow.app/2023982146; Windows/NT; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/1.6.3 FlurrySDK/14.6.2 (com.weatherwatch.app/2022973197; Windows/10; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
YahooNews/19.0.0 FlurrySDK/14.6.2 (com.sportsnow.app/2022798062; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
TravelGuide/11.3.4 FlurrySDK/14.6.2 (com.sportsnow.app/2023854323; Windows/11; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
WeatherWatch/13.7.2 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023782095; Windows/10; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
WeatherWatch/18.4.8 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022879114; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
BingNews/6.3.8 FlurrySDK/14.6.2 (com.dailydigest.reader/2023466347; Windows/11; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
TravelGuide/1.2.2 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022470302; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/13.3.2 FlurrySDK/14.6.2 (com.travelguide.explorer/2023412465; Chrome/OS; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
SportsNow/17.4.4 FlurrySDK/15.0.1 (com.sportsnow.app/2022089158; Windows/NT; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
SportsNow/11.0.6 FlurrySDK/14.6.2 (com.dailydigest.reader/2022169611; Windows/NT; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
WeatherWatch/16.1.8 FlurrySDK/15.0.1 (com.sportsnow.app/2022472585; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
WeatherWatch/13.8.8 FlurrySDK/14.5.7 (com.microsoft.bing.news/2023215550; Windows/11; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
GoogleNews/3.0.4 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023649303; Windows/11; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
WeatherWatch/12.8.9 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022371130; Chrome/OS; RP1A.200720.012; Xperia 1 III; sony; Xperia 1 III; 6.1; 2400x1080;)
DailyDigest/9.3.7 FlurrySDK/15.0.1 (com.sportsnow.app/2022134314; Windows/11; SPB3.210618.016; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
SportsNow/8.3.2 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023663342; Chrome/OS; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
SportsNow/2.6.9 FlurrySDK/14.6.2 (com.weatherwatch.app/2023035749; Windows/11; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
TravelGuide/17.4.5 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023956608; Windows/11; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.3; 2115x1080;)
GoogleNews/9.8.9 FlurrySDK/15.0.1 (com.sportsnow.app/2022290804; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
TravelGuide/13.7.4 FlurrySDK/15.0.1 (com.dailydigest.reader/2023722566; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
GoogleNews/18.6.5 FlurrySDK/15.0.1 (com.microsoft.bing.news/2023723456; Windows/10; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
TravelGuide/2.6.9 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022381931; Windows/NT; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
WeatherWatch/15.9.8 FlurrySDK/15.0.1 (com.microsoft.bing.news/2022374476; Windows/11; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
WeatherWatch/4.1.4 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2022046597; Windows/10; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
GoogleNews/11.0.4 FlurrySDK/14.6.2 (com.sportsnow.app/2022196432; Windows/10; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/14.6.2 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022794371; Windows/11; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
WeatherWatch/17.1.3 FlurrySDK/14.6.2 (com.yahoo.desktop.news/2022858009; Windows/10; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.3; 2115x1080;)
WeatherWatch/8.2.8 FlurrySDK/14.6.2 (com.dailydigest.reader/2022787526; Chrome/OS; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
TravelGuide/19.5.5 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022404927; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
GoogleNews/9.7.0 FlurrySDK/15.0.1 (com.microsoft.bing.news/2023432803; Chrome/OS; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
DailyDigest/13.5.9 FlurrySDK/14.5.7 (com.weatherwatch.app/2023587832; Chrome/OS; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
WeatherWatch/4.6.4 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022960013; Chrome/OS; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
WeatherWatch/1.1.6 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2023246489; Chrome/OS; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
SportsNow/14.7.6 FlurrySDK/15.0.1 (com.google.microsoft.apps.magazines/2023421812; Windows/NT; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
BingNews/8.4.6 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2022063543; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
YahooNews/8.1.9 FlurrySDK/14.6.2 (com.microsoft.bing.news/2023016353; Windows/NT; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
YahooNews/5.3.3 FlurrySDK/14.5.7 (com.yahoo.desktop.news/2022964598; Windows/11; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
DailyDigest/5.2.4 FlurrySDK/14.6.2 (com.weatherwatch.app/2023694175; Windows/10; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/4.2.2 FlurrySDK/14.5.7 (com.travelguide.explorer/2022117100; Chrome/OS; TQ3A.231005.002; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
GoogleNews/19.4.4 FlurrySDK/15.0.1 (com.google.microsoft.apps.magazines/2023145725; Windows/NT; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
BingNews/17.2.6 FlurrySDK/14.6.2 (com.weatherwatch.app/2023701151; Windows/11; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
GoogleNews/9.8.1 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2022799450; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
WeatherWatch/16.8.4 FlurrySDK/14.5.7 (com.travelguide.explorer/2023014791; Windows/NT; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
DailyDigest/14.4.3 FlurrySDK/14.5.7 (com.google.microsoft.apps.magazines/2023177569; Chrome/OS; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
BingNews/14.6.4 FlurrySDK/14.5.7 (com.weatherwatch.app/2023057576; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
GoogleNews/4.2.3 FlurrySDK/14.6.2 (com.google.microsoft.apps.magazines/2023540912; Windows/11; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
GoogleNews/17.1.3 FlurrySDK/14.5.7 (com.weatherwatch.app/2022249440; Windows/NT; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
YahooNews/6.9.1 FlurrySDK/15.0.1 (com.sportsnow.app/2022917690; Windows/NT; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
WeatherWatch/7.2.6 FlurrySDK/14.6.2 (com.sportsnow.app/2023998441; Windows/11; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
DailyDigest/12.5.8 FlurrySDK/14.6.2 (com.microsoft.bing.news/2022686586; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
BingNews/9.0.6 FlurrySDK/15.0.1 (com.yahoo.desktop.news/2023386719; Chrome/OS; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.4; 2340x1080;)
BingNews/1.6.0 FlurrySDK/15.0.1 (com.microsoft.bing.news/2023802841; Windows/10; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
SportsNow/20.0.1 AdMobSDK/14.5.7 (com.sportsnow.app/2023202951; Windows/NT; RP1A.200720.012; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
YahooNews/14.9.6 UnitySDK/14.6.2 (com.yahoo.desktop.news/2023998368; Windows/NT; UP1A.231005.007; OnePlus 9; oneplus; OnePlus 9; 6.4; 2340x1080;)
SportsNow/14.7.0 AdjustSDK/15.0.1 (com.sportsnow.app/2022993323; Windows/NT; TQ3A.231005.002; Screen STBT221; microsoft; Screen STBT221; 6.7; 3120x1440;)
BingNews/12.5.5 AppsFlyerSDK/15.0.1 (com.dailydigest.reader/2022533713; Chrome/OS; SPB3.210618.016; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
YahooNews/18.2.9 FirebaseSDK/15.0.1 (com.microsoft.bing.news/2022696967; Chrome/OS; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
GoogleNews/8.9.3 AppsFlyerSDK/14.5.7 (com.dailydigest.reader/2023583213; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
DailyDigest/9.7.6 UnitySDK/14.6.2 (com.sportsnow.app/2023309557; Chrome/OS; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.7; 3120x1440;)
TravelGuide/4.3.5 AppsFlyerSDK/15.0.1 (com.google.microsoft.apps.magazines/2023845484; Windows/10; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.7; 3120x1440;)
GoogleNews/20.9.5 AdMobSDK/14.5.7 (com.dailydigest.reader/2022984538; Windows/NT; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
YahooNews/5.9.1 AppsFlyerSDK/15.0.1 (com.microsoft.bing.news/2022003756; Chrome/OS; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
WeatherWatch/7.1.7 AdjustSDK/14.5.7 (com.weatherwatch.app/2022515505; Windows/NT; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
WeatherWatch/19.4.0 UnitySDK/14.5.7 (com.yahoo.desktop.news/2022677430; Chrome/OS; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.1; 2400x1080;)
WeatherWatch/14.4.2 FirebaseSDK/14.5.7 (com.yahoo.desktop.news/2022096685; Windows/NT; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
DailyDigest/15.8.6 FirebaseSDK/14.5.7 (com.travelguide.explorer/2022620416; Windows/10; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/6.9.6 AdjustSDK/14.6.2 (com.sportsnow.app/2022137447; Chrome/OS; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
YahooNews/8.5.0 UnitySDK/14.6.2 (com.sportsnow.app/2022123812; Windows/10; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
DailyDigest/14.1.2 AppsFlyerSDK/14.5.7 (com.dailydigest.reader/2022624650; Chrome/OS; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
TravelGuide/11.9.5 FirebaseSDK/14.5.7 (com.dailydigest.reader/2022805548; Windows/NT; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.4; 2340x1080;)
SportsNow/1.3.2 FirebaseSDK/15.0.1 (com.yahoo.desktop.news/2022231750; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
YahooNews/5.2.4 FirebaseSDK/14.5.7 (com.travelguide.explorer/2023430611; Windows/NT; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.4; 2340x1080;)
GoogleNews/19.5.7 FirebaseSDK/15.0.1 (com.microsoft.bing.news/2022132796; Chrome/OS; SPB3.210618.016; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
SportsNow/7.2.2 AdjustSDK/15.0.1 (com.weatherwatch.app/2023321193; Windows/10; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
WeatherWatch/6.8.5 AppsFlyerSDK/14.6.2 (com.microsoft.bing.news/2022131844; Windows/10; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.3; 2115x1080;)
WeatherWatch/10.5.2 AppsFlyerSDK/14.5.7 (com.google.microsoft.apps.magazines/2022120280; Windows/11; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
SportsNow/10.0.3 AppsFlyerSDK/14.6.2 (com.microsoft.bing.news/2022102103; Windows/11; UP1A.231005.007; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
TravelGuide/9.8.4 AdjustSDK/14.6.2 (com.google.microsoft.apps.magazines/2022472993; Windows/NT; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
WeatherWatch/3.4.3 AppsFlyerSDK/15.0.1 (com.dailydigest.reader/2023213447; Windows/NT; SPB3.210618.016; Screen STBT222; microsoft; Screen STBT222; 6.1; 2400x1080;)
WeatherWatch/16.5.0 AppsFlyerSDK/14.5.7 (com.travelguide.explorer/2022467026; Windows/11; RP1A.200720.012; Pixel 7; google; Pixel 7; 6.3; 2115x1080;)
BingNews/3.1.9 FirebaseSDK/14.5.7 (com.yahoo.desktop.news/2022281821; Windows/11; SPB3.210618.016; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
BingNews/9.1.9 AdjustSDK/14.6.2 (com.dailydigest.reader/2023499626; Windows/11; UP1A.231005.007; Pixel 6; google; Pixel 6; 6.7; 3120x1440;)
BingNews/6.4.0 AdMobSDK/14.6.2 (com.yahoo.desktop.news/2022530426; Chrome/OS; UP1A.231005.007; Screen STBT222; microsoft; Screen STBT222; 6.7; 3120x1440;)
YahooNews/3.3.1 FirebaseSDK/15.0.1 (com.microsoft.bing.news/2022108744; Windows/11; TQ3A.231005.002; Pixel 7; google; Pixel 7; 6.4; 2340x1080;)
SportsNow/10.8.0 AdjustSDK/15.0.1 (com.yahoo.desktop.news/2023361616; Chrome/OS; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.1; 2400x1080;)
WeatherWatch/5.8.3 AppsFlyerSDK/14.6.2 (com.yahoo.desktop.news/2022705064; Windows/11; TQ3A.231005.002; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/16.3.8 AdMobSDK/15.0.1 (com.google.microsoft.apps.magazines/2023337802; Windows/11; TQ3A.231005.002; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
WeatherWatch/14.3.2 AdMobSDK/14.5.7 (com.weatherwatch.app/2022290440; Windows/10; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
TravelGuide/20.2.6 AdMobSDK/14.5.7 (com.weatherwatch.app/2023034483; Windows/10; SPB3.210618.016; Pixel 7; google; Pixel 7; 6.7; 3120x1440;)
DailyDigest/8.5.1 FirebaseSDK/14.6.2 (com.sportsnow.app/2022268397; Windows/10; SPB3.210618.016; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
SportsNow/3.2.3 FirebaseSDK/14.6.2 (com.weatherwatch.app/2023107412; Windows/NT; UP1A.231005.007; Screen STBT221; microsoft; Screen STBT221; 6.1; 2400x1080;)
DailyDigest/19.1.1 AdMobSDK/15.0.1 (com.sportsnow.app/2023066293; Windows/NT; RP1A.200720.012; OnePlus 9; oneplus; OnePlus 9; 6.3; 2115x1080;)
TravelGuide/10.3.1 AdjustSDK/15.0.1 (com.travelguide.explorer/2022826953; Windows/10; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
YahooNews/15.2.4 FirebaseSDK/14.6.2 (com.google.microsoft.apps.magazines/2022156963; Windows/NT; UP1A.231005.007; Xperia 1 III; sony; Xperia 1 III; 6.4; 2340x1080;)
TravelGuide/11.4.5 FirebaseSDK/14.5.7 (com.google.microsoft.apps.magazines/2022412449; Windows/NT; TQ3A.231005.002; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
SportsNow/17.6.7 UnitySDK/15.0.1 (com.weatherwatch.app/2023296496; Chrome/OS; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.1; 2400x1080;)
GoogleNews/5.1.3 UnitySDK/14.5.7 (com.yahoo.desktop.news/2022417967; Windows/11; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.4; 2340x1080;)
YahooNews/12.1.9 AdjustSDK/15.0.1 (com.microsoft.bing.news/2023745984; Windows/NT; RP1A.200720.012; Screen STBT221; microsoft; Screen STBT221; 6.3; 2115x1080;)
DailyDigest/4.2.0 AdMobSDK/14.5.7 (com.weatherwatch.app/2023113945; Windows/10; RP1A.200720.012; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
BingNews/4.4.9 FirebaseSDK/14.6.2 (com.yahoo.desktop.news/2023333616; Chrome/OS; RP1A.200720.012; Pixel 6; google; Pixel 6; 6.3; 2115x1080;)
GoogleNews/11.2.3 AdjustSDK/15.0.1 (com.sportsnow.app/2023126802; Windows/NT; TQ3A.231005.002; Xperia 1 III; sony; Xperia 1 III; 6.7; 3120x1440;)
SportsNow/12.8.0 UnitySDK/14.5.7 (com.yahoo.desktop.news/2023996208; Chrome/OS; UP1A.231005.007; Moto G Power; motorola; Moto G Power; 6.1; 2400x1080;)
